neo_id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,rel_velocity,miss_distance,is_hazardous,year
2001221,"1221 Amor (1932 EA1)",17.38,0.8882904164,1.9862777548,36595.9420042886,15749208.6918392,False,1932
2001566,"1566 Icarus (1949 MA)",16.57,1.2898968334,2.8842970035,105743.676908871,6355247.12658697,True,1949
2001580,"1580 Betulia (1950 KA)",14.69,3.0658787593,6.8555133165,102643.034546627,19418198.7037334,False,1950
2001620,"1620 Geographos (1951 RA)",15.27,2.3472263753,5.2485577338,51121.326583532,4982316.74372404,True,1951
2001627,"1627 Ivar (1929 SH)",12.84,7.1871213318,16.0708918604,39067.952192845,22466552.7205087,False,1929
2001685,"1685 Toro (1948 OA)",14.28,3.7030107822,8.2801838305,68226.8174922954,18497395.7194034,False,1948
2001862,"1862 Apollo (1932 HA)",16.08,1.6164228334,3.6144313359,69985.4154393204,4228755.86041248,True,1932
2001863,"1863 Antinous (1948 EA)",15.45,2.160503512,4.8310327184,61110.5127663705,26063217.5029018,False,1948
2001864,"1864 Daedalus (1971 FA)",14.86,2.8350124902,6.3392806452,80928.5508403562,39531104.9179427,False,1971
2001865,"1865 Cerberus (1971 UA)",16.79,1.1656145947,2.6063934693,62418.3750561096,24393091.1445259,False,1971
2001866,"1866 Sisyphus (1972 XA)",12.52,8.3282734552,18.6225855811,89259.799972121,15391188.3317142,False,1972
2001915,"1915 Quetzalcoatl (1953 EA)",18.38,0.5604733623,1.2532565376,52612.7727906392,7973473.12192912,False,1953
2001916,"1916 Boreas (1953 RA)",14.95,2.7199127735,6.0819098544,25132.381897907,47118903.1670965,False,1953
2001917,"1917 Cuyo (1968 AA)",14.41,3.4878273316,7.7990190072,59964.9344560723,16872244.1654685,False,1968
2001943,"1943 Anteros (1973 EC)",15.7,1.9255507819,4.3056624424,29533.1215806208,9794261.69427073,False,1973
2001980,"1980 Tezcatlipoca (1950 LA)",13.85,4.5139316282,10.0934579665,51382.4818760474,40416162.418743,False,1950
2001981,"1981 Midas (1973 EA)",15.28,2.3364418497,5.2244428015,108209.634499615,4456710.52163511,True,1973
2002059,"2059 Baboquivari (1963 UA)",15.98,1.6926024946,3.7847742368,26580.0698396971,37477786.6823181,False,1963
2002061,"2061 Anza (1960 UA)",16.7,1.214940408,2.7166893409,38695.788545421,9485855.84172589,False,1960
2002062,"2062 Aten (1976 AA)",17.11,1.0059003902,2.249261651,45894.6805024531,17040867.6980979,False,1976
2002063,"2063 Bacchus (1977 HB)",17.21,0.9606274149,2.1480282008,41924.8796976277,10135632.5893737,False,1977
2002100,"2100 Ra-Shalom (1978 RA)",16.23,1.5085335612,3.3731835891,57062.8777650803,22352022.2667329,False,1978
2002101,"2101 Adonis (1936 CA)",18.72,0.4792421155,1.071617948,91240.8544073644,2217473.30979663,True,1936
